Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score,team_size_grown,Investors_count
0,1,2012.0,2.0,-1.0,75,169,3,12,0,20,178,450000.0,21,2,2.0,5.0,1.0,2.0,2.0,15.0,1,4.0,3,0,2,0,0,0,0,2,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,1,21.0,99,1,1,1,500.0,2,0.0,0.0,0.0,2,0.0,1,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,9626884.0,0,1,0,2.0,1,0.0,1.5,27,1,1.0,11.56,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
111,1,2011.0,3.0,125.0,59,294,31,-11,0,18,7,6379489.0,21,2,5.0,0.0,2.0,0.0,4.0,20.0,0,0.0,2,1,0,1,1,0,0,1,0,2,1,0,0,3,1,1,0,0,1,0,1,1,0,0,1,1,1,0,2,1,1,0,1,0,1,21.0,1,1,1,1,500.0,0,0.0,0.0,0.0,2,13.0,1,34.0,0,2,1,0,1,1,0,1,1,0,0,1,2,1067034.0,1,1,0,3.0,2,0.0,6.666666667,119,1,10.0,9.0,4,1,15.88235294,11.76470588,15.0,12.94117647,0.0,8.823529412,21.76470588,10.88235294,2.941176471,0.0,0.0,0.0,0.0,0.0,8.0,0,5.0
222,1,2011.0,3.0,455.0,75,297,14,-4,0,55,45,2350000.0,21,2,15.0,13.0,3.0,0.0,7.0,10.0,0,0.0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,2,1,1,0,18.0,52,1,1,2,500.0,0,0.0,0.0,1.0,2,18.0,1,36.0,0,2,1,0,1,1,1,1,1,0,0,0,1,71391.0,1,1,1,3.0,2,0.0,3.333333333,82,1,2.0,7.344444444,4,1,9.401709402,0.0,57.47863248,0.0,0.0,3.846153846,17.09401709,9.401709402,0.0,2.777777778,0.0,0.0,0.0,0.0,9.0,0,15.0
333,1,2009.0,5.0,-99.0,59,201,45,5,0,129,164,10250000.0,21,2,6.0,3.0,2.0,0.0,4.0,50.0,1,0.0,1,0,0,1,1,0,0,1,1,2,1,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,0,18.0,26,1,1,2,500.0,1,0.0,0.0,0.0,2,2.0,1,15.5,2,2,1,0,1,2,0,1,1,0,0,0,1,11847.0,0,1,1,4.0,2,2.0,10.0,63,1,1.0,8.7,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,6.0
417,1,2010.0,4.0,496.0,59,71,39,1,0,93,80,5500000.0,21,2,7.0,7.0,1.0,1.0,8.0,40.0,0,0.0,0,0,2,0,0,0,0,1,1,2,1,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,2,0,18.0,0,1,1,2,500.0,0,0.0,0.0,0.0,1,5.0,0,23.0,2,2,1,0,1,1,1,1,1,0,0,0,1,201814.0,1,1,0,3.0,2,0.0,10.0,122,1,13.0,9.822222222,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,7.0
428,1,2010.0,4.0,106.0,2,227,14,0,0,108,269,1000000.0,21,2,2.0,6.0,4.0,0.0,4.0,14.0,0,2.0,2,0,1,0,0,0,0,2,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,2,1,21.0,89,0,0,1,500.0,1,0.0,0.0,0.0,1,5.0,1,25.0,2,2,1,0,1,2,0,1,0,1,0,0,0,591816.0,1,1,1,4.0,0,0.0,3.5,48,1,12.0,9.322222222,3,1,6.25,0.0,3.125,15.625,9.375,3.125,6.25,3.125,3.125,0.0,0.0,0.0,0.0,0.0,6.0,0,2.0
439,1,2011.0,3.0,39.0,88,225,7,8,0,17,280,2000000.0,21,2,7.0,1.0,2.0,9.0,2.0,15.0,0,4.0,2,0,2,1,1,0,0,0,1,2,1,2,1,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,2,2,25.0,40,1,1,0,500.0,1,0.0,0.0,0.0,1,1.0,1,21.0,2,2,1,0,2,1,0,0,1,0,0,1,1,2345574.0,1,1,0,3.0,2,0.0,5.0,78,1,11.0,7.311111111,3,1,0.0,0.0,66.66666667,5.555555556,0.0,22.22222222,0.0,0.0,0.0,5.555555556,0.0,0.0,0.0,0.0,0.0,1,7.0
450,1,2010.0,4.0,139.0,13,218,29,11,0,15,76,6700000.0,21,2,0.0,3.0,3.0,4.0,4.0,40.0,0,0.0,2,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,2,0,1,2,1,21.0,19,1,1,1,500.0,2,0.0,0.0,0.0,0,5.0,0,4.5,2,2,1,0,1,1,0,0,1,0,0,0,1,1015027.0,1,1,0,3.0,2,0.0,10.0,128,1,20.0,6.4,2,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0
461,1,2011.0,3.0,306.0,56,228,16,34,0,17,108,11000000.0,21,2,13.0,0.0,2.0,0.0,2.0,50.0,0,0.0,2,1,1,1,1,0,0,1,1,2,1,0,0,3,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,1,0,1,21.0,19,1,1,1,500.0,0,0.0,0.0,0.0,2,13.0,1,48.0,1,2,0,0,1,1,0,1,0,0,0,0,1,256921.0,1,1,0,3.0,2,0.0,16.66666667,64,1,18.0,12.0,4,1,8.333333333,0.0,46.73202614,5.718954248,8.333333333,0.0,19.77124183,2.777777778,2.777777778,0.0,0.0,0.0,0.0,5.555555556,5.0,1,13.0
1,1,2013.0,1.0,53.0,88,172,3,0,0,114,46,3000000.0,21,2,0.0,1.0,3.0,4.0,3.0,3.0,0,0.0,3,1,1,1,1,0,0,1,0,2,1,1,0,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,2,25.0,15,1,1,1,500.0,0,0.0,0.0,0.0,2,1.0,1,25.5,2,0,1,0,2,1,1,0,1,0,0,1,1,3639779.0,0,1,0,1.0,1,0.0,3.0,95,1,5.0,5.0,0,2,8.333333333,0.0,27.08333333,19.79166667,0.0,23.95833333,0.0,0.0,0.0,20.83333333,0.0,0.0,0.0,0.0,4.0,0,0.0
